17:57:58 INFO  - Executed action GD.API.Controllers.Utility.AccountController.GetWeChatMobileConfig (API) in 4ms
17:58:22 INFO  - Executed action GD.API.Controllers.Utility.AccountController.GetWeChatMobileConfig (API) in 49ms
17:58:58 INFO  - Executed action GD.API.Controllers.Utility.AccountController.GetWeChatMobileConfig (API) in 434ms
18:19:12 INFO  - Executed action GD.API.Controllers.Utility.AccountController.EnterpriseWeChatLoginAdmin (API) in 852ms
18:19:21 INFO  - Executed action GD.API.Controllers.Utility.AccountController.EnterpriseWeChatLoginAdmin (API) in 558ms
18:19:49 INFO  - Executed action GD.API.Controllers.Utility.AccountController.EnterpriseWeChatLoginAdmin (API) in 140ms
18:25:33 INFO  - Executed action GD.API.Controllers.Utility.AccountController.EnterpriseWeChatLoginAdmin (API) in 119ms
18:25:34 INFO  - Executed action GD.API.Controllers.Utility.AccountController.EnterpriseWeChatLoginAdmin (API) in 296ms
18:28:13 INFO  - Executed action GD.API.Controllers.Utility.AccountController.EnterpriseWeChatLoginAdmin (API) in 153ms
18:28:14 INFO  - Executed action GD.API.Controllers.Utility.AccountController.EnterpriseWeChatLoginAdmin (API) in 171ms
18:39:25 INFO  - Executed action GD.API.Controllers.Utility.AccountController.LoginAdmin (API) in 474ms
18:39:26 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 726ms
18:39:27 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 62ms
18:39:27 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 184ms
18:39:27 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 93ms
18:39:27 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 36ms
18:41:23 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 203ms
18:45:04 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 256ms
18:45:08 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 120ms
18:45:08 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 83ms
18:45:08 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 91ms
18:45:08 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 146ms
18:45:19 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 210ms
18:45:25 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 40ms
18:45:25 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 37ms
18:45:25 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 32ms
18:45:25 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 29ms
18:52:26 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 340ms
18:52:28 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 51ms
18:52:28 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 82ms
18:52:28 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 59ms
18:52:28 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 127ms
18:53:26 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 262ms
18:53:33 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 56ms
